job_id,battery,scenario_id,family,n,p,method,data_seed,split_seed,method_seed,bootstrap_seed,split_replicate,signal_profile,effect_profile,group_structure,within_rho,cross_rho,binomial_target_prevalence,reuse_from_battery,run_this
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_1963_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,1963,101963,1001963,101963,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_1963_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,1963,101963,2001963,2001963,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_1963_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,1963,101963,3001963,3001963,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_1963_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,1963,101963,4001963,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_2048_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,2048,102048,1002048,102048,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_2048_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,2048,102048,2002048,2002048,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_2048_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,2048,102048,3002048,3002048,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_2048_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,2048,102048,4002048,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_SGL-WQS_2222_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,SGL-WQS,2222,102222,1002222,102222,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_gWQS_2222_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,gWQS,2222,102222,2002222,2002222,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_groupWQS_2222_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,groupWQS,2222,102222,3002222,3002222,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
D_unbalanced_effect_factorial_D_binomial_balanced_heterogeneous_n1000_p100_qgcomp_2222_NA,D_unbalanced_effect_factorial,D_binomial_balanced_heterogeneous_n1000_p100,binomial,1000,100,qgcomp,2222,102222,4002222,NA,NA,heterogeneous,heterogeneous,balanced,0.45,0.05,0.2,NA,TRUE
