true_ratio,threshold,seed,ok,error,error_class,fitted_ratio,fitted_minor_direction,excluded_minor,pos_estimate,pos_pvalue,neg_estimate,neg_pvalue,contrast_estimate,true_contrast
0.05,0,3333,TRUE,NA,NA,3.6996318592945007e-4,negative,FALSE,0.4369694372764038,1.9870274133589893e-7,0.027385218266360777,0.693167804117247,0.16491147163158887,0.475
0.05,0,3500,TRUE,NA,NA,4.018759222253548e-6,negative,FALSE,0.36702557759920806,2.722668143573762e-6,0.0324276479382644,0.5608652654396732,0.16770538157953965,0.475
0.05,0,3777,TRUE,NA,NA,1.587646336260987e-4,negative,FALSE,0.2876923721323888,0.001041918547517469,-0.012445887227708773,0.8438953294224412,0.12134987919222393,0.475
0.05,0.1,71,TRUE,NA,NA,1.5431706599108202e-4,negative,TRUE,0.4584377057367776,5.558927633923494e-12,NA,NA,0.15230312553626918,0.475
0.05,0.1,42,TRUE,NA,NA,3.982198587614042e-5,negative,TRUE,0.43646939766301973,5.926790960927143e-10,NA,NA,0.17483749511000524,0.475
0.05,0.1,123,TRUE,NA,NA,5.417871721109775e-6,negative,TRUE,0.403292089540131,3.219483894537699e-10,NA,NA,0.15715867845235157,0.475
0.05,0.1,256,TRUE,NA,NA,2.8494231387221896e-4,negative,TRUE,0.4140615126389706,1.2581248708730463e-9,NA,NA,0.17996243651923516,0.475
0.05,0.1,314,TRUE,NA,NA,0,negative,TRUE,0.40395837687109926,3.0260500375257163e-8,NA,NA,0.14402908315250817,0.475
0.05,0.1,500,TRUE,NA,NA,0,negative,TRUE,0.5133143297979357,4.419797017283651e-14,NA,NA,0.19427499189126218,0.475
0.05,0.1,617,TRUE,NA,NA,3.0336588819040982e-5,negative,TRUE,0.3655969708126693,6.519392465943459e-8,NA,NA,0.1820541666549901,0.475
0.05,0.1,789,TRUE,NA,NA,0,negative,TRUE,0.4778225830898875,1.1697322476543922e-11,NA,NA,0.2393749428086211,0.475
0.05,0.1,888,TRUE,NA,NA,0,negative,TRUE,0.5154938428789126,5.614064053113187e-16,NA,NA,0.23598275628634174,0.475
0.05,0.1,999,TRUE,NA,NA,0,negative,TRUE,0.3945527600364838,1.4254068096446417e-10,NA,NA,0.1581230462721565,0.475
0.05,0.1,1001,TRUE,NA,NA,8.354706390143334e-6,negative,TRUE,0.39614234897119527,1.8799515158968197e-7,NA,NA,0.13455840790616522,0.475
0.05,0.1,1123,TRUE,NA,NA,2.3092489289602765e-4,negative,TRUE,0.49184201957793905,9.942243255268978e-16,NA,NA,0.18025407166635707,0.475
0.05,0.1,1234,TRUE,NA,NA,5.254892456418414e-4,negative,TRUE,0.42752944796254,8.106931974854896e-11,NA,NA,0.1396882223430903,0.475
0.05,0.1,1357,TRUE,NA,NA,0,negative,TRUE,0.3553368303688914,2.319409016395411e-7,NA,NA,0.14090346023440184,0.475
0.05,0.1,1500,TRUE,NA,NA,3.474538761693678e-4,negative,TRUE,0.2825405221897366,6.3469238863052256e-6,NA,NA,0.12487256449663652,0.475
0.05,0.1,1618,TRUE,NA,NA,1.2279824638613614e-5,negative,TRUE,0.4377410717577983,2.5599337431050313e-12,NA,NA,0.14053218330422,0.475
0.05,0.1,1729,TRUE,NA,NA,0.1109989217404976,negative,FALSE,0.36389729538980997,6.789097905438061e-6,0.0704887451376762,0.2195116142509255,0.18070164390648197,0.475
0.05,0.1,1847,TRUE,NA,NA,3.9230346248084533e-4,negative,TRUE,0.4372688041096398,1.0507958366506591e-11,NA,NA,0.21629535411687625,0.475
0.05,0.1,1963,TRUE,NA,NA,0,negative,TRUE,0.3088939895971618,6.556599889325772e-7,NA,NA,0.1439972024176036,0.475
0.05,0.1,2048,TRUE,NA,NA,3.9761601452331543e-5,negative,TRUE,0.44521340489447997,3.925247571729677e-12,NA,NA,0.2004701442885321,0.475
0.05,0.1,2222,TRUE,NA,NA,0.05968197689291678,negative,TRUE,0.487202604963291,1.9100089880628948e-14,NA,NA,0.24784559631205372,0.475
0.05,0.1,2345,TRUE,NA,NA,0,negative,TRUE,0.374154508080633,6.58824948555044e-8,NA,NA,0.13149299317107482,0.475
0.05,0.1,2500,TRUE,NA,NA,0,negative,TRUE,0.46077626815127276,9.114830115955089e-12,NA,NA,0.15608467163422807,0.475
0.05,0.1,2718,TRUE,NA,NA,9.226327769875366e-5,negative,TRUE,0.3881839523922466,2.096749853855306e-10,NA,NA,0.15411187680264024,0.475
0.05,0.1,2801,TRUE,NA,NA,1.675033725142637e-5,negative,TRUE,0.4035538085187903,4.234257601646772e-10,NA,NA,0.17797120491808843,0.475
0.05,0.1,3001,TRUE,NA,NA,1.757121026237141e-4,negative,TRUE,0.4231184571211251,1.1345197925264434e-10,NA,NA,0.21277233103852566,0.475
0.05,0.1,3141,TRUE,NA,NA,0,negative,TRUE,0.5557337369516699,2.923382236715401e-15,NA,NA,0.2342592453647203,0.475
0.05,0.1,3333,TRUE,NA,NA,2.0156417390882386e-4,negative,TRUE,0.3483076158425282,1.0088621795399741e-07,NA,NA,0.1494652463560495,0.475
0.05,0.1,3500,TRUE,NA,NA,9.8503701478529e-6,negative,TRUE,0.44554209461795913,4.003802949666524e-9,NA,NA,0.18420134371988833,0.475
0.05,0.1,3777,TRUE,NA,NA,0,negative,TRUE,0.38063386940873745,1.2779084860160064e-8,NA,NA,0.13408370810967238,0.475
0.05,0.25,71,TRUE,NA,NA,8.454420821093648e-5,negative,TRUE,0.44716510195088416,2.4455868447226108e-11,NA,NA,0.14927610966715005,0.475
0.05,0.25,42,TRUE,NA,NA,0,negative,TRUE,0.3726990727222286,2.4294798489257853e-8,NA,NA,0.15581302584228585,0.475
0.05,0.25,123,TRUE,NA,NA,2.5388719886907286e-5,negative,TRUE,0.397880626804303,2.243909503179097e-8,NA,NA,0.15901238787129135,0.475
0.05,0.25,256,TRUE,NA,NA,0.12441218696087877,negative,TRUE,0.4093054050318585,3.207677858119574e-10,NA,NA,0.21012914520392953,0.475
0.05,0.25,314,TRUE,NA,NA,0,negative,TRUE,0.39909279609548726,6.6493671371375765e-9,NA,NA,0.13912000667548427,0.475
0.05,0.25,500,TRUE,NA,NA,0,negative,TRUE,0.5003651248222991,7.827043244497113e-13,NA,NA,0.20725362860704732,0.475
